input,target
116.24,19.51730958234091
93.88,10.2538955012958
94.72,34.273376361069765
89.27,50.02219860936084
108.65,48.34489425459182
76.98,50.66816147670796
117.45,-7.807812007916949
92.39,-10.202615619309324
103.19,33.88340949728492
97.51,16.35977005355832
114.62,49.09467751765675
79.4,-2.797852496824462
96.78,38.30676108529675
96.16,47.879503469754994
111.34,-9.620884640633966
89.0,44.92211687727982
98.28,-3.752734371157328
91.22,14.916191438386612
100.42,17.74251135552838
105.83,-4.990460351495788
88.99,46.05520387704569
111.45,-11.190705300299994
109.02,45.823719673706826
105.02,-7.772381301231948
109.01,42.873421248814005
93.16,-5.770733837739167
98.77,-8.32015764502134
90.64,34.04924401993327
97.32,20.914157282512317
105.3,-9.591079170420038
93.08,-8.236402187523808
96.03,49.22085840825515
93.13,-8.653490565379244
91.55,7.453720293310979
93.29,-4.156441373857915
99.87,0.6566953286170271
88.83,43.74142979548781
102.34,48.49853115617518
116.6,10.025047198577438
107.42,37.41855485630391
98.08,0.38085346837948236
91.12,19.47871549733402
92.53,-9.30113042312731
116.92,1.5464046063738408
100.51,19.890616936520317
93.63,2.4735886918712136
101.91,50.0209376248131
121.0,51.08386435406917
101.2,39.146995994920246
106.17,2.364165492910239
103.0,38.69115325899163
96.48,41.63810852185504
88.57,38.39741940268888
96.51,45.68533226011499
97.91,5.268543489998348
105.87,-4.804966139737266
108.39,50.35961055595844
109.31,38.23465308183601
102.86,42.164471413287735
108.85,46.14082666624282
92.46,-10.304816028127266
112.53,2.6096990827746502
105.13,-10.054260864176971
97.02,30.711418134907564
104.89,-8.11563034491057
99.24,-9.483611455084157
111.32,-8.86176806109525
115.2,46.49676527075897
121.86,40.94094622302466
86.04,-10.510940534605519
85.56,-1.14808179131346
94.96,40.83223872275311
101.6,49.27047291769101
108.76,48.129885308279356
103.16,34.99743642555838
79.78,-9.078230887828852
96.94,34.579206189662855
108.28,50.042193983449145
102.3,50.58265634998821
107.62,41.68329088584996
97.78,7.116547287198724
97.99,3.0726060544797824
101.87,50.18453252747078
104.1,8.646386667680215
101.98,50.164185747097264
101.19,38.05680588810278
93.29,-4.386441373857915
103.78,16.969307069090082
101.22,39.671677327405014
111.29,-9.720721307590026
111.99,-6.122576960226294
101.85,49.908493020642275
96.25,49.605320894505034
93.61,2.949903394848371
104.23,4.524964723597559
100.77,25.591340352401126
96.56,43.093981193090336
100.44,17.649394737204492
93.8,7.604563909680705
106.98,26.07526049855565
